"Name","Brand","Colour","Body","Top","Neck","Fretboard","Frets","Scale","Pickups","Tremolo","Bag","Case","Price"
"Fender Player Series Strat MN TPL","Fender","Blue","Alder","None","Maple","Maple","22","648 mm","SSS","Standard","No","No","€ 644"
"Harley Benton ST-62MN VW Vintage Series","Harley Benton","White","Basswood","None","Maple","Maple","22","648 mm","SSS","Vintage","No","No","€ 129"
"Schecter C-1 SLS Evil Twin Satin Black","Schecter","Black","Ash","None","Maple, Walnut, Padauk","Ebony","24","648 mm","HH","None","No","No","€ 1.299"
"Jackson JS22 Dinky DKA AH SW","Jackson","White","Poplar","None","Maple","Amaranth","24","648 mm","HH","Standard","No","No","€ 199"
"Fender Player Series Strat MN PWT","Fender","White","Alder","None","Maple","Maple","22","648 mm","SSS","Standard","No","No","€ 644"
"Fender AM Acoustasonic Strat Cocobolo","Fender","Natural","Mahogany","Cocobolo","Black Limba","Ebony","22","648 mm","Miscellaneous","None","No","Yes","€ 2.666"
"Jackson Adrian Smith SDX-MN SW X-Ser.","Jackson","White","Basswood","None","Maple","Maple","22","648 mm","HSS","FR-Style","No","No","€ 498"
"Fender Squier Affinity Strat SFG IL","Fender","Green","Poplar","None","Maple","Indian Laurel","21","648 mm","SSS","Vintage","No","No","€ 205"
"Solar Guitars A2.6 FR LN","Solar Guitars","Green","Mahogany","None","Maple","Ebony","24","648 mm","HH","Floyd Rose","No","No","€ 749"
"Harley Benton CST-24T Black Cherry Flame","Harley Benton","Red","Mahogany","Maple","Mahogany","Jatoba","24","635 mm","HH","Standard","No","No","€ 249"
"Fender Squier Bullet Strat BSB","Fender","Sunburst","Basswood","None","Maple","Indian Laurel","21","648 mm","SSS","Standard","No","No","€ 129"
"Chapman Guitars ML1 Modern Abyss","Chapman Guitars","Blue","Mahogany","Maple, Laminated","Maple","Ebony","24","648 mm","HH","None","No","No","€ 525"
"Fender AM Perf Strat RW HB","Fender","Honey","Alder","Alder","Maple","Rosewood","22","648 mm","SSS","Vintage","Yes","No","€ 1.155"
"Schecter Reaper-6 FR S SSKYB","Schecter","Sky Burst","Ash","Poplar","Maple, Walnut","Ebony","24","648 mm","HH","Floyd Rose","No","No","€ 1.099"
"Fender AM Ultra Strat HSS RW U.burst","Fender","Burst","Alder","None","Maple","Rosewood","22","648 mm","HSS","Vintage","No","Yes","€ 2.048"
"Evh Stripe Red","Evh","Red","Basswood","None","Maple","Maple","22","648 mm","H","FR-Style","No","No","€ 777"
"Harley Benton ST-20HSS SB Standard Series","Harley Benton","Sunburst","Basswood","None","Maple","Roseacer","22","648 mm","HSS","Vintage","No","No","€ 89"
"Fender AM Pro II Strat HSS MN OWT","Fender","White","Alder","None","Maple","Maple","22","648 mm","HSS","Vintage","No","Yes","€ 1.777"
